SonoField-FPGA 国内直购 BOM 基线 — 128TX + 8RX 自校准相控阵,,,,,,,,,
,,,,,,,,,
目标：给 Codex 一套明确可落地的器件基线，避免因型号/供电/连接器不清而停工。库存和价格为 2026-09-21 调研快照，下单前复核。,,,,,,,,,
,,,,,,,,,
系统项,当前基线,,模块,推荐器件,工程理由,,采购门禁,状态,处理方式
主控,Robei 八角板 Zynq-7020（PS+PL）,,TX Driver,TC4427A,双通道；12–18V；成熟超声阵列先例,,TCT40精确厂牌/批次,需实物资格确认,先采购160T+16R，同供应商同批次；扫频筛选
发射阵列,上 8×8 + 下 8×8 = 128× TCT40-10T,,Serializer,SN74LVC595A,16并行链，降低单链时钟压力,,Zynq exact package,板级阻塞,不阻塞BOM/原理图；仅阻塞最终XDC/bitstream
接收阵列,每侧 4× TCT40-10R = 8 RX,,Level Shift,SN74AXC8T245,当前Zynq VCCO未闭合仍可继续画板,,GPIO VCCO/pinout,需关闭B03,保留AXC translator避免阵列板重画
阵元 Pitch,12 mm,,RX AFE,TMUX1574 + OPA4192 + REF5025,blank + 低噪声增益 + 稳定2.5V偏置,,Serializer真实时序,Gerber前验证,器件先锁；target STA + 走线负载复核
名义发射面间距,100 mm；可调 90–115 mm,,ADC,AD7606B,8通道同步，不用复用ADC破坏相位,,50mg悬浮,实验目标,BOM不能保证；按5→10→25→50mg推进
阵列 PCB,2× 130×130 mm / 4层,,Power,TPS259470 + AP6320x + ADP7118,保护+本地降压+低噪5V,,自定位,可实现,上下互发互收，512条路径联合拟合6DoF
ADC,"AD7606B，8ch simultaneous, 16-bit, 800 kSPS/ch",,Air Sensor,SHT45,温湿度用于真实声速补偿,,频率,统一 f_work,逐颗扫频后选共同工作频率，禁止每颗不同频
,,,,,,,,,
,,,,,,,,,
关键采购数量（整机）,,,,,,,,,
项目,安装数量,建议采购,原因,,,,,,
TCT40-T,128,160,筛选+备件,,,,,,
TCT40-R,8,16,接收校准+备件,,,,,,
TC4427A,64,72,驱动主器件+备件,,,,,,
Array PCB,2,5,首板建议多打样,,,,,,
,,,,,,,,,
,,,,,,,,,
