Category,Module,Item,MPN,Manufacturer,Package,Qty/Array PCB,Array PCBs,Qty/ADC PCB,Qty/Sensor PCB,Qty/External,Installed Total,Recommended Buy,Status,Priority,Channel,LCSC/DigiKey,Ref Unit Price,Currency,Stock Snapshot,Preferred Procurement,Substitution Rule,Engineering Note,Source URL
Acoustic,TX array,10 mm / 40 kHz ultrasonic transmitter,TCT40-10T (same supplier/same lot),Supplier-specific,"THT, 10 mm class",64,2,0,0,0,128,160,PRIMARY / BATCH-QUALIFY,A,,,,USD,,Domestic electronic marketplace / same supplier lot,"Do not mix vendors in final 128ch array. If batch fails, benchmark with MSO-A1040H07T.","Geometry locked at 12 mm pitch. Before Gerber freeze measure body OD, pin pitch, pin dia, height; sweep 38.5–41.5 kHz and sort.",https://www.manorshi.com/products/mso-a1040h07t.html
Acoustic,Calibration RX,10 mm / 40 kHz ultrasonic receiver,TCT40-10R (matched family),Supplier-specific,"THT, 10 mm class",4,2,0,0,0,8,16,PRIMARY / BATCH-QUALIFY,A,,,,USD,,Same domestic supplier family as TCT40-10T,Use matched 10mm receiver; MSO-P1040H07R is qualified backup family.,4 RX per array PCB; 8 installed total plus spares.,https://www.manorshi.com/ultrasonic-sensor-transducer.html
Driver,TX output,Dual high-speed push-pull driver,TC4427AEOA713,Microchip,SOIC-8,32,2,0,0,0,64,72,LOCK,A,,C20551,0.89,USD,~10k+,LCSC/立创商城; Mouser China/DigiKey backup,"MIC4127 only after pinout, polarity, delay and VDD review.",Two TX channels/IC. VDRV initial 12V; design 12–18V.,https://www.microchip.com/en-us/product/TC4427A
Digital,Serializer,8-bit serial-in/parallel-out register,SN74LVC595APWR,Texas Instruments,TSSOP-16,16,2,0,0,0,32,36,LOCK,A,,C52287685,0.15,USD,500+,LCSC/立创商城,74LVC595-compatible only after timing/pinout review.,Only Q0–Q3 used per package in 16-lane/4-bit topology.,https://www.ti.com/product/SN74LVC595A
Digital,Level shift,8-bit dual-supply level translator,SN74AXC8T245PWR,Texas Instruments,TSSOP-24,3,2,2,0,0,8,10,LOCK,A,,C882718,1.05,USD,4k+,LCSC/立创商城; TI authorized,Do not remove until Zynq bank VCCO is verified.,"VCCA=VIO_REF, VCCB=3V3.",https://www.ti.com/product/SN74AXC8T245
Digital,Clock fanout,Octal buffer/line driver,SN74LVC244APWR,Texas Instruments,TSSOP-20,1,2,0,0,0,2,4,LOCK,A,,C7668,0.32,USD,40k+,LCSC/立创商城,Equivalent 3.3V LVC buffer only.,4 SRCLK +4 RCLK branches; 33Ω source resistors.,https://www.ti.com/product/SN74LVC244A
Digital,Safety OE,Single 2-input OR gate,SN74LVC1G32DBVR,Texas Instruments,SOT-23-5,1,2,0,0,0,2,4,LOCK,A,,C10096,0.08,USD,20k+,LCSC/立创商城,Any LVC single OR with verified pinout.,"Hardware KILL + FPGA OE_N, default disabled.",https://www.ti.com/product/SN74LVC1G32
Analog RX,RX blanking,Quad SPDT analog switch,TMUX1574PWR,Texas Instruments,TSSOP-16,1,2,0,0,0,2,4,LOCK,A,,C2673443,0.48,USD,3k+,LCSC/立创商城,Quad low-Ron switch >=5V supply.,Select signal or 2.5V VREF for blanking.,https://www.ti.com/product/TMUX1574
Analog RX,RX amplifier,Quad low-noise RRIO op amp,OPA4192IPWR,Texas Instruments,TSSOP-14,2,2,0,0,0,4,6,LOCK,A,,,7,USD,Domestic stock varies,LCSC/Mouser China/DigiKey,OPA4197/equivalent after stability review.,Two stages per RX; default gains 11×2; bypass stage2.,https://www.ti.com/product/OPA4192
Analog RX,Bias reference,2.5V precision reference,REF5025AIDR,Texas Instruments,SOIC-8,1,2,0,0,0,2,4,LOCK,A,,C11341,0.99,USD,70+,LCSC/立创商城,Low-noise 2.5V reference only.,Bias single-supply RX AFE around 2.5V.,https://www.ti.com/product/REF5025
Analog RX,Input protection,Dual Schottky diode,BAT54S,ST/compatible,SOT-23,4,2,0,0,0,8,20,LOCK,B,,C83935,0.019,USD,15k+,LCSC/立创商城,BAT54S-compatible 30V class.,One per RX channel.,https://www.lcsc.com/zh-CN/product-detail/schottky-diodes_st-semtech-bat54s_C83935.html
ADC,8ch synchronous ADC,"8-channel 16-bit simultaneous ADC, 800kSPS/ch",AD7606BBSTZ-RL,Analog Devices,LQFP-64,0,2,1,0,0,1,2,LOCK,A,,C651284,23.9,USD,1k+,LCSC/立创商城; ADI authorized,Do not replace with multiplexed ADC.,20 samples/cycle at 40k; use 4-DOUT serial if possible.,https://www.analog.com/en/products/ad7606b.html
